"rep","ant","meanmidstretch","meanmidlegangle","meanhindstretch","midlegangle","Label","chainsize"
"Quel223_2","twotwo",1.82993197278912,5.8165,2.68707482993197,24.922,"Quel223_2Ants.1.1g.Second1172.jpg","2"
"Quel321_2_2","twoone",1.40056022408964,23.3975,2.26190476190476,32.867,"Quel321_2_2Ants.0.42g.Second1310.jpg","2"
"Quel321_2_2","twotwo",1.40526315789474,18.355,2.28157894736842,21.05,"Quel321_2_2Ants.0.42g.Second1310.jpg","2"
"Quel321_2_2","twoone",1.19922879177378,25.4625,1.82519280205656,37.373,"Quel321_2_2Ants.0.43g.Second1308.jpg","2"
"Quel321_2_2","twotwo",1.30506329113924,18.417,2.07848101265823,22.589,"Quel321_2_2Ants.0.43g.Second1308.jpg","2"
"Quel321_2_2","twoone",1.27604166666667,24.9495,1.92838541666667,39.507,"Quel321_2_2Ants.0.43g.Second1309.jpg","2"
"Quel321_2_2","twotwo",1.43882978723404,17.445,2.2686170212766,23.101,"Quel321_2_2Ants.0.43g.Second1309.jpg","2"
"Quel321_2_2","twoone",1.19060052219321,25.455,2.07702349869452,33.935,"Quel321_2_2Ants.0.43g.Second1311.jpg","2"
"Quel321_2_2","twotwo",1.36103896103896,17.8915,2.1025974025974,22.15,"Quel321_2_2Ants.0.43g.Second1311.jpg","2"
"Quel321_2_2","twoone",1.29178470254958,0.52300000000001,2.34985835694051,32.731,"Quel321_2_2Ants.0.43g.Second1312.jpg","2"
"Quel321_2_2","twotwo",1.35037406483791,18.0145,2.17581047381546,20.996,"Quel321_2_2Ants.0.43g.Second1312.jpg","2"
"Quel323_2","twoone",1.42379679144385,35.323,2.13636363636364,24.951,"Quel323_2Ants.0.33g.Second2918.jpg","2"
"Quel323_2","twotwo",1.38451443569554,5.1735,2.249343832021,19.215,"Quel323_2Ants.0.33g.Second2918.jpg","2"
"Quel323_2","twoone",1.63353115727003,32.354,2.53560830860534,24.882,"Quel323_2Ants.0.34g.Second2919.jpg","2"
"Quel323_2","twotwo",1.37953367875648,5.32299999999999,2.22020725388601,19.331,"Quel323_2Ants.0.34g.Second2919.jpg","2"
"Quel323_2","twoone",1.51515151515152,31.081,2.25068870523416,29.912,"Quel323_2Ants.0.35g.Second2920.jpg","2"
"Quel323_2","twotwo",1.32581453634085,6.013,2.12781954887218,18.714,"Quel323_2Ants.0.35g.Second2920.jpg","2"
"Quel323_2","twoone",1.50692520775623,31.8755,2.27146814404432,30.222,"Quel323_2Ants.0.37g.Second2921.jpg","2"
"Quel323_2","twotwo",1.41994750656168,4.3335,2.16666666666667,19.905,"Quel323_2Ants.0.37g.Second2921.jpg","2"
"Quel323_2","twoone",1.22160664819945,36.09,2.28670360110803,29.638,"Quel323_2Ants.0.39g.Second2922.jpg","2"
"Quel323_2","twotwo",1.41383812010444,4.9015,2.27806788511749,19.506,"Quel323_2Ants.0.39g.Second2922.jpg","2"
"Quel216","threeone",0.956656346749226,50.744,1.17647058823529,3.964,"Quel216_3Ants.1.38g.Second1321.jpg","3"
"Quel216","threethree",1.83546325878594,15.2735,2.69009584664537,7.20399999999998,"Quel216_3Ants.1.38g.Second1321.jpg","3"
"Quel216","threetwo",1.49817518248175,8.7585,1.95802919708029,42.929,"Quel216_3Ants.1.38g.Second1321.jpg","3"
"Quel216","threeone",1.26592356687898,67.0135,1.20859872611465,9.673,"Quel216_3Ants.1.39g.Second1319.jpg","3"
"Quel216","threethree",1.91147540983607,14.717,2.79344262295082,7.839,"Quel216_3Ants.1.39g.Second1319.jpg","3"
"Quel216","threetwo",1.6469465648855,8.50850000000001,2.08969465648855,41.99,"Quel216_3Ants.1.39g.Second1319.jpg","3"
"Quel216","threeone",1.12091503267974,60.6675,1.34150326797386,4.96000000000001,"Quel216_3Ants.1.39g.Second1320.jpg","3"
"Quel216","threethree",1.5952380952381,15.782,2.68888888888889,7.023,"Quel216_3Ants.1.39g.Second1320.jpg","3"
"Quel216","threetwo",1.65192307692308,8.07749999999999,2.13076923076923,41.652,"Quel216_3Ants.1.39g.Second1320.jpg","3"
"Quel220_1","threeone",1.63013698630137,20.335,2.36815068493151,11.569,"Quel220_1_3Ants.0.37g.Second1569.jpg","3"
"Quel220_1","threethree",1.63414634146341,6.83949999999999,2.26655052264808,19.766,"Quel220_1_3Ants.0.37g.Second1569.jpg","3"
"Quel220_1","threetwo",1.65901060070671,28.8555,2.07950530035336,31.215,"Quel220_1_3Ants.0.37g.Second1569.jpg","3"
"Quel220_1","threeone",1.56375838926175,19.4805,2.3003355704698,12.444,"Quel220_1_3Ants.0.39g.Second1570.jpg","3"
"Quel220_1","threethree",1.55821917808219,6.64749999999999,2.24315068493151,21.198,"Quel220_1_3Ants.0.39g.Second1570.jpg","3"
"Quel220_1","threetwo",1.69333333333333,11.911,1.97666666666667,17.816,"Quel220_1_3Ants.0.39g.Second1570.jpg","3"
"Quel220_1","threeone",1.43059936908517,21.034,2.07255520504732,12.036,"Quel220_1_3Ants.0.41g.Second1571.jpg","3"
"Quel220_1","threethree",1.68637992831541,6.253,2.38530465949821,20.792,"Quel220_1_3Ants.0.41g.Second1571.jpg","3"
"Quel220_1","threetwo",1.29861111111111,40.5225,1.94965277777778,39.826,"Quel220_1_3Ants.0.41g.Second1571.jpg","3"
"Quel321_2","threeone",1.86607142857143,7.34899999999999,2.48660714285714,32.437,"Quel321_2_3Ants.0.75g.Second1142.jpg","3"
"Quel321_2","threethree",1.50877192982456,13.8055,2.40789473684211,22.019,"Quel321_2_3Ants.0.75g.Second1142.jpg","3"
"Quel321_2","threetwo",1.76345609065156,6.6245,2.34985835694051,21.776,"Quel321_2_3Ants.0.75g.Second1142.jpg","3"
"Quel321_2","threeone",1.51497005988024,7.9265,2.15419161676647,36.017,"Quel321_2_3Ants.0.77g.Second1143.jpg","3"
"Quel321_2","threethree",1.44985673352436,13.9135,2.30229226361032,22.825,"Quel321_2_3Ants.0.77g.Second1143.jpg","3"
"Quel321_2","threetwo",1.58108108108108,7.36800000000001,2.14459459459459,23.18,"Quel321_2_3Ants.0.77g.Second1143.jpg","3"
"Quel321_2","threeone",1.66366366366366,17.3905,2.53753753753754,31.02,"Quel321_2_3Ants.0.86g.Second1141.jpg","3"
"Quel321_2","threethree",1.44632768361582,13.3465,2.29802259887006,22.873,"Quel321_2_3Ants.0.86g.Second1141.jpg","3"
"Quel321_2","threetwo",1.77312138728324,6.095,2.38872832369942,21.643,"Quel321_2_3Ants.0.86g.Second1141.jpg","3"
